source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[cell line]
MDA-MB-231_parental	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-1_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-1_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231
MDA-MB-231_MIG4	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-1_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-1_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231 MIG4
MDA-MB-231_parental	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-2_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-2_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC light	2	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231
MDA-MB-231_MIG4	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-2_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-2_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC heavy	2	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231 MIG4
MDA-MB-231_parental	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-3_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-3_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC light	3	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231
MDA-MB-231_MIG4	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-3_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-3_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC heavy	3	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231 MIG4
MDA-MB-231_parental	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-4_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-4_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC light	4	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231
MDA-MB-231_MIG4	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-4_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-4_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC heavy	4	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231 MIG4
MDA-MB-231_parental	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-5_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-5_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC light	5	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231
MDA-MB-231_MIG4	homo sapiens	epithelial cell	epithelial cell	1	breast cancer	cell line	European ancestry	51Y	female	MDA-MB-231	CVCL_0062	MDA-MB-231	Roswell Park Memorial Institute 1640 Medium	Bouchal_130104_SILAC-5_KE_1x_02.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013162/Bouchal_130104_SILAC-5_KE_1x_02.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	SILAC heavy	5	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=CAMthiopropanoyl;AC=UNIMOD:293;MT=variable;TA=Protein N-term;PP=Protein N-term	MDA-MB-231 MIG4
