source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[condition]	comment[file uri]
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA1	Synechocystis	whole cell	bacterial cell	not applicable	1	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 1 (Dalton strain)	not available
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA2	Synechocystis	whole cell	bacterial cell	not applicable	2	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 1 (Dalton strain)	not available
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA3	Synechocystis	whole cell	bacterial cell	not applicable	3	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 1 (Dalton strain)	not available
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA4	Synechocystis	whole cell	bacterial cell	not applicable	1	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA4.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 3 (London strain)	not available
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA5	Synechocystis	whole cell	bacterial cell	not applicable	2	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA5.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 3 (London strain)	not available
HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA6	Synechocystis	whole cell	bacterial cell	not applicable	3	PA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240423_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_BA6.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	WT 3 (London strain)	not available
