source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms2 min mz]	comment[ms2 max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
PLA-801C_1	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801C	CVCL_7109	PLA-801C	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	1	C3_QZ_20171107-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	C3_QZ_20171107-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801C
PLA-801C_2	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801C	CVCL_7109	PLA-801C	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	2	C3_QZ_20171107-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	C3_QZ_20171107-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801C
PLA-801C_3	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801C	CVCL_7109	PLA-801C	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	3	C3_QZ_20171107-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	C3_QZ_20171107-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801C
PLA-801D_1	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801D	CVCL_7110	PLA-801D	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	1	D3_QZ_20171107-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	D3_QZ_20171107-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801D
PLA-801D_2	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801D	CVCL_7110	PLA-801D	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	2	D3_QZ_20171107-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	D3_QZ_20171107-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801D
PLA-801D_3	Homo sapiens	lung	lung giant cell carcinoma	epithelial cell	not available	PLA-801D	CVCL_7110	PLA-801D	pleural effusion	65Y	male	Chinese	adult	Roswell Park Memorial Institute 1640 Medium	not available	Cell Bank of the Chinese Academy of Sciences (Shanghai)	not available	not available	not applicable	3	D3_QZ_20171107-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=HCD;AC=PRIDE:0000590	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z	1600m/z	200m/z	2000m/z	1	1	D3_QZ_20171107-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	PLA-801D
