source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
12AndreaHanson_040215_10.pkl	12AndreaHanson_040215_10.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	12AndreaHanson_040215_10.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	12AndreaHanson_040215_10.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
151AndreaHanson_060715_11.pkl	151AndreaHanson_060715_11.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	151AndreaHanson_060715_11.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	151AndreaHanson_060715_11.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
1537AndreaHanson_061515_45.pkl	1537AndreaHanson_061515_45.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	1537AndreaHanson_061515_45.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1537AndreaHanson_061515_45.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
15AndreaHanson_040215_12.pkl	15AndreaHanson_040215_12.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	15AndreaHanson_040215_12.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	15AndreaHanson_040215_12.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
165AndreaHanson_060415_12.pkl	165AndreaHanson_060415_12.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	165AndreaHanson_060415_12.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	165AndreaHanson_060415_12.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
183AndreaHanson_040215_22.pkl	183AndreaHanson_040215_22.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	183AndreaHanson_040215_22.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	183AndreaHanson_040215_22.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
21AndreaHanson_040215_13.pkl	21AndreaHanson_040215_13.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	21AndreaHanson_040215_13.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	21AndreaHanson_040215_13.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
232AndreaHanson_060415_16.pkl	232AndreaHanson_060415_16.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	232AndreaHanson_060415_16.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	232AndreaHanson_060415_16.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
244AndreaHanson_060415_18.pkl	244AndreaHanson_060415_18.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	244AndreaHanson_060415_18.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	244AndreaHanson_060415_18.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
257AndreaHanson_060415_19.pkl	257AndreaHanson_060415_19.pkl	freshwater metagenome	Prokaryotic cell	not applicable	not available	Proteomic_investigation_of_a_mixed_microbial_culture_synthesizing_polyhydroxyalkanoates_from_fermented_dairy_manure_under_aerobic_feast-famine_conditions	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	257AndreaHanson_060415_19.pkl	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	257AndreaHanson_060415_19.pkl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Prokaryotic cell
