source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HeLa_CTR	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	untreated control	1	SL_215247_HeLA_CTR	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_215247_HeLA_CTR.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated control
HeLa_H2O2	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	100 uM hydrogen peroxide	1	SL_215247_HeLA_H2O2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_215247_HeLA_H2O2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	100 uM hydrogen peroxide
HeLa_CTR	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	untreated control	2	SL_215250_HeLA_CTR	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_215250_HeLA_CTR.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated control
HeLa_H2O2	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	100 uM hydrogen peroxide	2	SL_215250_HeLA_H2O2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_215250_HeLA_H2O2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	100 uM hydrogen peroxide
HeLa_CTR	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	untreated control	3	SL_216029_Hela_CTR	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_216029_Hela_CTR.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated control
HeLa_H2O2	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	100 uM hydrogen peroxide	3	SL_216029_Hela_H2O2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	SL_216029_Hela_H2O2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	100 uM hydrogen peroxide
