source name	characteristics[organism]	characteristics[phenotype]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[organism part]	assay name	technology type	comment[cleavage agent details]	comment[instrument]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
K-652 cells, isolated and DSSO crosslinked mitochondria, soluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 1	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	SOL_ID_rep1	NT=label free sample;AC=MS:1002038	1	B190809_02_HF_PR_IN_160_mito_DSSO_SOL_ID_rep1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
K-652 cells, isolated and DSSO crosslinked mitochondria, soluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 2	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	SOL_ID_rep2	NT=label free sample;AC=MS:1002038	2	B190809_03_HF_PR_IN_160_mito_DSSO_SOL_ID_rep2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
K-652 cells, isolated and DSSO crosslinked mitochondria, soluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 3	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	SOL_ID_rep3	NT=label free sample;AC=MS:1002038	3	B190809_04_HF_PR_IN_160_mito_DSSO_SOL_ID_rep3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
K-652 cells, isolated and DSSO crosslinked mitochondria, insoluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 4	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	INSOL_ID_rep1	NT=label free sample;AC=MS:1002038	1	B190813_02_HF_PR_IN_160_mito_DSSO_INSOL_ID_rep1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
K-652 cells, isolated and DSSO crosslinked mitochondria, insoluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 5	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	INSOL_ID_rep2_4ul	NT=label free sample;AC=MS:1002038	2	B190813_03_HF_PR_IN_160_mito_DSSO_INSOL_ID_rep2_4ul.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
K-652 cells, isolated and DSSO crosslinked mitochondria, insoluble fraction	Homo sapiens	Normal	1	not available	not available	not available	not available	Run 6	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	INSOL_ID_rep3_4ul	NT=label free sample;AC=MS:1002038	3	B190813_04_HF_PR_IN_160_mito_DSSO_INSOL_ID_rep3_4ul.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
