source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[enrichment process]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[elution conditions]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[sampling time]
PXD003529-Sample-1	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HCC_000_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available
PXD003529-Sample-2	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	not applicable	not available	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HCC_000_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available
PXD003529-Sample-3	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	not applicable	not available	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HCC_000_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available
PXD003529-Sample-4	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	5 minute	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_005_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	5 minute
PXD003529-Sample-5	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	5 minute	2	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_005_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	5 minute
PXD003529-Sample-6	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	5 minute	3	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_005_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	5 minute
PXD003529-Sample-7	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	10 minute	1	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_010_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	10 minute
PXD003529-Sample-8	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	10 minute	2	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_010_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	10 minute
PXD003529-Sample-9	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	10 minute	3	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_010_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	10 minute
PXD003529-Sample-10	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	15 minute	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_015_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	15 minute
