source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[chromatin loop]
17885	drosophila melanogaster	head	1	not applicable	not applicable	L34_A39 - B1	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7202_Mouginot_DIA_17885_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A39
17886	drosophila melanogaster	head	1	not applicable	not applicable	L34_A39 - B2	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	2	7207_Mouginot_DIA_17886_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A39
17887	drosophila melanogaster	head	1	not applicable	not applicable	L34_A39 - B3	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	3	7212_Mouginot_DIA_17887_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A39
17891	drosophila melanogaster	head	2	not applicable	not applicable	L34_A42 - D1	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7193_Mouginot_DIA_17891_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A42
17892	drosophila melanogaster	head	2	not applicable	not applicable	L34_A42 - D2	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	2	7198_Mouginot_DIA_17892_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A42
17893	drosophila melanogaster	head	2	not applicable	not applicable	L34_A42 - D3	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	3	7203_Mouginot_DIA_17893_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L34_A42
17903	drosophila melanogaster	head	3	not applicable	not applicable	CTRL - H1	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7214_Mouginot_DIA_17903_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CTRL
17904	drosophila melanogaster	head	3	not applicable	not applicable	CTRL - H2	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	2	7219_Mouginot_DIA_17904_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CTRL
17905	drosophila melanogaster	head	3	not applicable	not applicable	CTRL - H3	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	3	7224_Mouginot_DIA_17905_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CTRL
17912	drosophila melanogaster	head	4	not applicable	not applicable	L24_A28 - K1	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7220_Mouginot_DIA_17912_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	L24_A28
