source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
ecPGK_Lip_N2	Escherichia coli	not available	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_N2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_N5	Escherichia coli	not available	not available	5	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_N5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_U24_R2	Escherichia coli	not available	not available	2	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_U24_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_N1	Escherichia coli	not available	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	2	ecPGK_Lip_N1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	2	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_U24_R1	Escherichia coli	not available	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_U24_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	2	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_U24_R3	Escherichia coli	not available	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_U24_R3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	2	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_U24_R5	Escherichia coli	not available	not available	5	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_U24_R5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	2	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_N3	Escherichia coli	not available	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_N3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	3	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_U24_R4	Escherichia coli	not available	not available	4	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_U24_R4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	3	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
ecPGK_Lip_N4	Escherichia coli	not available	not available	4	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	ecPGK_Lip_N4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=Proteinase K	NT=label free sample;AC=MS:1002038	4	not available	10 ppm	20 ppm	NT=oxidation of methionine;AC=UNIMOD:35;NT=acetylation of the N-terminus;AC=UNIMOD:25
