source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample1	Escherichia coli	not applicable	not applicable	1	not applicable	Assay1	proteomic profiling by mass spectrometry	1	Fusion_171003_120.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample2	Escherichia coli	not applicable	not applicable	1	not applicable	Assay2	proteomic profiling by mass spectrometry	1	Fusion_171003_121.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample3	Escherichia coli	not applicable	not applicable	1	not applicable	Assay3	proteomic profiling by mass spectrometry	1	Fusion_171003_75.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	not applicable	not applicable	1	not applicable	Assay4	proteomic profiling by mass spectrometry	1	Fusion_171003_73.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample5	Escherichia coli	not applicable	not applicable	1	not applicable	Assay5	proteomic profiling by mass spectrometry	1	Fusion_171003_63.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	5	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample6	Escherichia coli	not applicable	not applicable	1	not applicable	Assay6	proteomic profiling by mass spectrometry	1	Fusion_171003_67.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample7	Escherichia coli	not applicable	not applicable	1	not applicable	Assay7	proteomic profiling by mass spectrometry	1	Fusion_171003_108.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	not applicable	not applicable	1	not applicable	Assay8	proteomic profiling by mass spectrometry	1	Fusion_171003_62.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	8	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample9	Escherichia coli	not applicable	not applicable	1	not applicable	Assay9	proteomic profiling by mass spectrometry	1	Fusion_171003_105.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample10	Escherichia coli	not applicable	not applicable	1	not applicable	Assay10	proteomic profiling by mass spectrometry	1	Fusion_171003_118.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	10	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample11	Escherichia coli	not applicable	not applicable	1	not applicable	Assay11	proteomic profiling by mass spectrometry	1	Fusion_171003_104.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	NT=TMT6plex	11	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
