source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD002633-Sample-1	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	1	not available	1	assay_1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S01.raw	0.80 Da	20 ppm	liquid chromatography	1	S01.raw	hdl
PXD002633-Sample-2	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	2	not available	2	assay_2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001743	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S02.raw	0.80 Da	20 ppm	liquid chromatography	1	S02.raw	hdl
PXD002633-Sample-3	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	3	not available	3	assay_3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001744	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S03.raw	0.80 Da	20 ppm	liquid chromatography	1	S03.raw	hdl
PXD002633-Sample-4	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	4	not available	4	assay_4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001745	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S04.raw	0.80 Da	20 ppm	liquid chromatography	1	S04.raw	hdl
PXD002633-Sample-5	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	5	not available	5	assay_5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001746	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S05.raw	0.80 Da	20 ppm	liquid chromatography	1	S05.raw	hdl
PXD002633-Sample-6	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	6	not available	6	assay_6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001747	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S06.raw	0.80 Da	20 ppm	liquid chromatography	1	S06.raw	hdl
PXD002633-Sample-7	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	7	not available	7	assay_7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001748	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S07.raw	0.80 Da	20 ppm	liquid chromatography	1	S07.raw	hdl
PXD002633-Sample-8	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	8	not available	8	assay_8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001749	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S08.raw	0.80 Da	20 ppm	liquid chromatography	1	S08.raw	hdl
PXD002633-Sample-9	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	9	not available	9	assay_9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001750	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S09.raw	0.80 Da	20 ppm	liquid chromatography	1	S09.raw	hdl
PXD002633-Sample-10	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	10	not available	10	assay_10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001751	AC=MS:1002038;NT=label free sample	1	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S10.raw	0.80 Da	20 ppm	liquid chromatography	1	S10.raw	hdl
