source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
8112TQ_11	8112TQ_11	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_12	8112TQ_12	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_13	8112TQ_13	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_14	8112TQ_14	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_15	8112TQ_15	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_16	8112TQ_16	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_17	8112TQ_17	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_18	8112TQ_18	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_18	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_mqpar.xml	8112TQ_mqpar.xml	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_mqpar.xml	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_mqpar.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8113TQ_1	8113TQ_1	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8113TQ_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8113TQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8113TQ_2	8113TQ_2	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8113TQ_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8113TQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8113TQ_3	8113TQ_3	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8113TQ_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8113TQ_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8113TQ_4	8113TQ_4	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8113TQ_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8113TQ_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8113TQ_mqpar.xml	8113TQ_mqpar.xml	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8113TQ_mqpar.xml	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8113TQ_mqpar.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
