source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[sampling time]	characteristics[seed type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[seed type]	factor value[sampling time]
Xs-dormant-3day-B1	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	dormant	organism part	1	181123SeedSWATH1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	3 day
Xs-dormant-3day-B2	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	dormant	organism part	2	181123SeedSWATH2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	3 day
Xs-dormant-3day-B3	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	dormant	organism part	3	181123SeedSWATH3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	3 day
Xs-non-dormant-3day-B1	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	non-dormant	organism part	1	181123SeedSWATH4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	non-dormant	3 day
Xs-non-dormant-3day-B2	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	non-dormant	organism part	2	181123SeedSWATH5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	non-dormant	3 day
Xs-non-dormant-3day-B3	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	3 day	non-dormant	organism part	3	181123SeedSWATH6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	non-dormant	3 day
Xs-dormant-10day-B1	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	10 day	dormant	organism part	1	181123SeedSWATH7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	10 day
Xs-dormant-10day-B2	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	10 day	dormant	organism part	2	181123SeedSWATH8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	10 day
Xs-dormant-10day-B3	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	10 day	dormant	organism part	3	181123SeedSWATH9	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH9.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dormant	10 day
Xs-non-dormant-10day-B1	Xanthium strumarium	seed	not applicable	normal	seed development stage	not available	not available	not applicable	10 day	non-dormant	organism part	1	181123SeedSWATH10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	not available	not available	not available	1	1	181123SeedSWATH10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	non-dormant	10 day
