source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
310112_polyA	homo sapiens	blood	HEK293T cell	not available	antibody enrichment	HEK293T	CVCL_0063	HEK293T	1	not available	not available	310112_polyA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	acrylamide (aa)	1	1	310112_polyA.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000350/310112_polyA.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	blood
310112_198	homo sapiens	blood	HEK293T cell	not available	antibody enrichment	HEK293T	CVCL_0063	HEK293T	1	not available	not available	310112_198	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	acrylamide (aa)	1	1	310112_198.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000350/310112_198.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	blood
310112_CONTROL	homo sapiens	blood	HEK293T cell	not available	antibody enrichment	HEK293T	CVCL_0063	HEK293T	1	not available	not available	310112_CONTROL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	acrylamide (aa)	1	1	310112_CONTROL.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000350/310112_CONTROL.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	blood
310112_17	homo sapiens	blood	HEK293T cell	not available	antibody enrichment	HEK293T	CVCL_0063	HEK293T	17	not available	not available	310112_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	acrylamide (aa)	1	1	310112_17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000350/310112_17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	blood
