source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[parent sample]	characteristics[sample name]	characteristics[batch]	characteristics[genotype]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[parent sample]	factor value[sample name]	factor value[batch]	factor value[genotype]	factor value[treatment]	factor value[biological replicate]
sample 1	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	b17_IAA_6_1	b17_IAA_6_1	1	b17	IAA	Run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_IAA-6-1_Slot1-17_1_7738.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_1	b17_IAA_6_1	1	b17	IAA	1
sample 2	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	b17_IAA_6_2	b17_IAA_6_2	2	b17	IAA	Run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_IAA-6-2_Slot1-18_1_7708.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_2	b17_IAA_6_2	2	b17	IAA	2
sample 3	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	b17_IAA_6_3	b17_IAA_6_3	2	b17	IAA	Run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_IAA-6-3_Slot1-19_1_7730.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_3	b17_IAA_6_3	2	b17	IAA	3
sample 4	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	b17_mock_2_2	b17_mock_2_2	2	b17	mock	Run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_mock-2-2_Slot1-5_1_7706.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_mock_2_2	b17_mock_2_2	2	b17	mock	2
sample 5	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	b74_IAA_7_1	b74_IAA_7_1	1	b74	IAA	Run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_IAA-7-1_Slot1-20_1_7734.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_IAA_7_1	b74_IAA_7_1	1	b74	IAA	1
sample 6	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	b74_IAA_7_3	b74_IAA_7_3	2	b74	IAA	Run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_IAA-7-3_Slot1-22_1_7726.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_IAA_7_3	b74_IAA_7_3	2	b74	IAA	3
sample 7	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	b74_mock_3_1	b74_mock_3_1	1	b74	mock	Run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_mock-3-1_Slot1-7_1_7718.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_mock_3_1	b74_mock_3_1	1	b74	mock	1
sample 8	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	b74_mock_3_2	b74_mock_3_2	2	b74	mock	Run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_mock-3-2_Slot1-8_1_7714.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_mock_3_2	b74_mock_3_2	2	b74	mock	2
sample 9	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	b74_mock_3_3	b74_mock_3_3	2	b74	mock	Run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_mock-3-3_Slot1-9_1_7724.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_mock_3_3	b74_mock_3_3	2	b74	mock	3
sample 10	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	Col0_IAA_5_1	Col0_IAA_5_1	1	Col_0	IAA	Run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_IAA-5-1_Slot1-14_1_7702.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_1	Col0_IAA_5_1	1	Col_0	IAA	1
