source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[genotype]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
PXD078397-sample-1	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)	not available	1	PXD078397-run-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	KO-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)
PXD078397-sample-2	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)	not available	2	PXD078397-run-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	KO-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)
PXD078397-sample-3	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)	not available	3	PXD078397-run-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	KO-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)
PXD078397-sample-4	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)	not available	4	PXD078397-run-4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	KO-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)
PXD078397-sample-5	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)	not available	5	PXD078397-run-5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	KO-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	hepatocyte-specific Atp6ap2 (PRR) knockout (PRR-delta-hep)
PXD078397-sample-6	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	wild type	not available	1	PXD078397-run-6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	WT-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
PXD078397-sample-7	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	wild type	not available	2	PXD078397-run-7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	WT-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
PXD078397-sample-8	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	wild type	not available	3	PXD078397-run-8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	WT-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
PXD078397-sample-9	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	wild type	not available	4	PXD078397-run-9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	WT-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
PXD078397-sample-10	Mus musculus	liver	normal	hepatocyte	cell	not available	not available	wild type	not available	5	PXD078397-run-10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	not available	NT=dithiothreitol;AC=PRIDE:0000607	NT=iodoacetamide;AC=PRIDE:0000598	1	1	WT-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
