source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Seq59054_QE3	Saccharomyces cerevisiae	not available	1	Seq59054_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59054_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59052_QE3	Saccharomyces cerevisiae	not available	1	Seq59052_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59052_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59059_QE3	Saccharomyces cerevisiae	not available	1	Seq59059_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59059_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq50374_QE3	Saccharomyces cerevisiae	not available	1	Seq50374_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq50374_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59050_QE3	Saccharomyces cerevisiae	not available	1	Seq59050_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59050_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq50376_QE3	Saccharomyces cerevisiae	not available	1	Seq50376_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq50376_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59058_QE3	Saccharomyces cerevisiae	not available	1	Seq59058_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59058_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59055_QE3	Saccharomyces cerevisiae	not available	1	Seq59055_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59055_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq59053_QE3	Saccharomyces cerevisiae	not available	1	Seq59053_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq59053_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Seq50369_QE3	Saccharomyces cerevisiae	not available	1	Seq50369_QE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Seq50369_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
