source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2017_October_18_UWPRQE_Sz_41	2017_October_18_UWPRQE_Sz_41	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_41	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_42	2017_October_18_UWPRQE_Sz_42	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_42	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_43	2017_October_18_UWPRQE_Sz_43	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_43	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_45	2017_October_18_UWPRQE_Sz_45	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_45	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_46	2017_October_18_UWPRQE_Sz_46	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_46	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_47	2017_October_18_UWPRQE_Sz_47	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_47	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_49	2017_October_18_UWPRQE_Sz_49	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_49	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_50	2017_October_18_UWPRQE_Sz_50	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_50	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_51	2017_October_18_UWPRQE_Sz_51	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_51	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_52	2017_October_18_UWPRQE_Sz_52	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_52	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_53	2017_October_18_UWPRQE_Sz_53	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_53	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_54	2017_October_18_UWPRQE_Sz_54	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_54	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_57	2017_October_18_UWPRQE_Sz_57	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_57	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_58	2017_October_18_UWPRQE_Sz_58	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_58	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_59	2017_October_18_UWPRQE_Sz_59	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_59	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_61	2017_October_18_UWPRQE_Sz_61	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_61	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_61.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_62	2017_October_18_UWPRQE_Sz_62	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_62	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_63	2017_October_18_UWPRQE_Sz_63	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_63	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_64	2017_October_18_UWPRQE_Sz_64	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_64	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_65	2017_October_18_UWPRQE_Sz_65	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_65	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_66	2017_October_18_UWPRQE_Sz_66	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_66	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
2017_October_18_UWPRQE_Sz_68	2017_October_18_UWPRQE_Sz_68	Sediment metagenome	Whole body	not applicable	not available	Competition_between_microbes_during_anaerobic_oxidation_of_methane_Bioreactor_metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	2017_October_18_UWPRQE_Sz_68	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2017_October_18_UWPRQE_Sz_68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Whole body
