source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
M418-F03-HS-P4767-2	homo sapiens	skin	not applicable	Squamous cell carcinoma	2	M418-F03-HS-P4767-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	M418-F03-HS-P4767-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/M418-F03-HS-P4767-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
OR4_20110726_PG_Exp1_CtImaDas_IP	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	OR4_20110726_PG_Exp1_CtImaDas_IP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	OR4_20110726_PG_Exp1_CtImaDas_IP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/OR4_20110726_PG_Exp1_CtImaDas_IP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
TT1_121126_PG_A431_F27	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	TT1_121126_PG_A431_F27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	27	1	TT1_121126_PG_A431_F27.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/TT1_121126_PG_A431_F27.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
OR8_20120816_PG_Exp2_CtBosNil_IP	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	OR8_20120816_PG_Exp2_CtBosNil_IP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	OR8_20120816_PG_Exp2_CtBosNil_IP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/OR8_20120816_PG_Exp2_CtBosNil_IP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
M418-F06-HS-P4773-3	homo sapiens	skin	not applicable	Squamous cell carcinoma	3	M418-F06-HS-P4773-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	M418-F06-HS-P4773-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/M418-F06-HS-P4773-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
OR5_20120221_PG_Exp2_CtImaDas_reIP2	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	OR5_20120221_PG_Exp2_CtImaDas_reIP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	OR5_20120221_PG_Exp2_CtImaDas_reIP2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/OR5_20120221_PG_Exp2_CtImaDas_reIP2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
TT1_121126_PG_A431_F10	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	TT1_121126_PG_A431_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	10	1	TT1_121126_PG_A431_F10.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/TT1_121126_PG_A431_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
TT1_121126_PG_A431_F25	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	TT1_121126_PG_A431_F25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	25	1	TT1_121126_PG_A431_F25.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/TT1_121126_PG_A431_F25.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
TT1_121126_PG_A431_F13_R2	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	TT1_121126_PG_A431_F13_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	TT1_121126_PG_A431_F13_R2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/TT1_121126_PG_A431_F13_R2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
TT1_121126_PG_A431_F17_R2	homo sapiens	skin	not applicable	Squamous cell carcinoma	1	TT1_121126_PG_A431_F17_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=tripletof 5600;AC=MS:1000932	NT=lcq classic;AC=MS:1000168	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.15 Da	0.05 Da	strong cation-exchange chromatography (scx)	1	1	TT1_121126_PG_A431_F17_R2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000681/TT1_121126_PG_A431_F17_R2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	skin
