source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
JeKo-1_1e8_classI	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class I protein complex	not available	NGS-based typing	W6/32 (pan-HLA class I)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classI_R1	proteomic profiling by mass spectrometry	e004778.raw	1	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classI
JeKo-1_1e8_classI	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class I protein complex	not available	NGS-based typing	W6/32 (pan-HLA class I)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classI_R2	proteomic profiling by mass spectrometry	e004779.raw	2	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classI
JeKo-1_1e8_classI	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class I protein complex	not available	NGS-based typing	W6/32 (pan-HLA class I)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classI_R3	proteomic profiling by mass spectrometry	e004780.raw	3	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classI
JeKo-1_1e8_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classII_R1	proteomic profiling by mass spectrometry	e004783.raw	1	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classII
JeKo-1_1e8_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classII_R2	proteomic profiling by mass spectrometry	e004784.raw	2	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classII
JeKo-1_1e8_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e8_classII_R3	proteomic profiling by mass spectrometry	e004785.raw	3	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e8_classII
JeKo-1_1e9_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e9_classII_R1	proteomic profiling by mass spectrometry	e004772.raw	1	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e9_classII
JeKo-1_1e9_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e9_classII_R2	proteomic profiling by mass spectrometry	e004773.raw	2	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e9_classII
JeKo-1_1e9_classII	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class II protein complex	not available	NGS-based typing	L243 (HLA-DR)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e9_classII_R3	proteomic profiling by mass spectrometry	e004774.raw	3	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e9_classII
JeKo-1_1e9_rep1_classI	Homo sapiens	not applicable	not available	cell line	mantle cell lymphoma	78Y	female	not applicable	not available	1	immunoaffinity purification	MHC class I protein complex	not available	NGS-based typing	W6/32 (pan-HLA class I)	JeKo-1	CVCL_1865	JeKo-1	not available	JeKo-1_1e9_rep1_classI_R1	proteomic profiling by mass spectrometry	e004760.raw	1	NT=Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	not available	20 ppm	0.02 Da	340m/z-1600m/z	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	JeKo-1_1e9_rep1_classI
