source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]
GJH1_seed	Sorghum bicolor	seed	not applicable	normal	seed development stage	GJH1	not available	untreated	organism part	study sample	not available	1	G6_BB11_1_14584	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	not available	not available	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	G6_BB11_1_14584.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	GJH1
BTx623_seed	Sorghum bicolor	seed	not applicable	normal	seed development stage	BTx623	not available	untreated	organism part	study sample	not available	1	B6_BC5_1_14596	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	not available	not available	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	B6_BC5_1_14596.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	BTx623
