source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
pWPI1	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	normal	keratinocytes�	not available	not available	1	not applicable	pWPI1	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_pWPI1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
pWPI2	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	normal	keratinocytes�	not available	not available	2	not applicable	pWPI2	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_pWPI2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
pWPI3	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	normal	keratinocytes�	not available	not available	3	not applicable	pWPI3	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_pWPI3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
pWPI4	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	normal	keratinocytes�	not available	not available	4	not applicable	pWPI4	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_pWPI4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_1_control	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	1	not applicable	16_1_control	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_1_control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_2_control	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	2	not applicable	16_2_control	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_2_control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_4_control	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	4	not applicable	16_4_control	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_4_control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_1_AA	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	1	not applicable	16_1_AA	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_1_AA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_2_AA	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	2	not applicable	16_2_AA	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_2_AA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_3_AA	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	3	not applicable	16_3_AA	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_3_AA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_4_AA	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	4	not applicable	16_4_AA	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_4_AA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
16_1_AAMG	Homo sapiens	mouth, gingiva	Normal oral keratinocyte	HPV16-positive	keratinocytes�	not available	not available	1	not applicable	16_1_AAMG	Affinity purification coupled with mass spectrometry proteomics	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	1	1	20210730_E7_16_1_AAMG.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
