source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[treatment]	characteristics[timepoint]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[ms2 mass analyzer]	comment[number of missed cleavages]	comment[separation]	comment[collision energy]	factor value[substrate]
Sample 1	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	1	not applicable	14 day	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	1	BB_r1_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 2	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	1	not applicable	14 day	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	2	BB_r1_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 3	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	1	not applicable	14 day	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	3	BB_r1_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 4	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	2	not applicable	14 day	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	1	BB_r2_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 5	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	2	not applicable	14 day	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	2	BB_r2_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 6	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	2	not applicable	14 day	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	3	BB_r2_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 7	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	3	not applicable	14 day	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	1	BB_r3_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 8	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	3	not applicable	14 day	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	2	BB_r3_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 9	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	3	not applicable	14 day	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	3	BB_r3_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	bacterial biomass
Sample 10	Tenebrio molitor	Whole Organism	not applicable	not applicable	not applicable	4	not applicable	14 day	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	6 ppm	29 ppm	1	1	OF_r2_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	26% NCE	oat flakes
