source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD014826-Sample-1	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-2	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-3	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-4	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-5	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-6	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-7	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-8	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-9	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD014826-Sample-10	Homo sapiens	heart	not available	not available	not available	not available	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
