source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[project name]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[geographic location]	characteristics[perturbation]	characteristics[gastrointestinal tract disorder]	characteristics[antibiotic treatment]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]
MB_20200120_QE_Proteon2_1	MB_20200120_QE_Proteon2_1	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_2	MB_20200120_QE_Proteon2_2	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_3_200216214336	MB_20200120_QE_Proteon2_3_200216214336	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_3_200216214336	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_3_200216214336.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_4	MB_20200120_QE_Proteon2_4	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_5	MB_20200120_QE_Proteon2_5	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_6	MB_20200120_QE_Proteon2_6	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_7	MB_20200120_QE_Proteon2_7	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_8_200218075000	MB_20200120_QE_Proteon2_8_200218075000	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_8_200218075000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_8_200218075000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_9	MB_20200120_QE_Proteon2_9	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_10	MB_20200120_QE_Proteon2_10	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
