source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[cell line]
CAISMOV24_Rep1	Homo sapiens	ascitic fluid	not available	1	ovarian serous adenocarcinoma	cell line	not available	60Y	female	CAISMOV24	CAISMOV24	CVCL_A5TC	CAISMOV24	ascitic fluid	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep1_C4_1_9509	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep1_C4_1_9509.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	CAISMOV24
CAISMOV24_Rep2	Homo sapiens	ascitic fluid	not available	2	ovarian serous adenocarcinoma	cell line	not available	60Y	female	CAISMOV24	CAISMOV24	CVCL_A5TC	CAISMOV24	ascitic fluid	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep2_C5_1_9502	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep2_C5_1_9502.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	CAISMOV24
CAISMOV24_Rep3	Homo sapiens	ascitic fluid	not available	3	ovarian serous adenocarcinoma	cell line	not available	60Y	female	CAISMOV24	CAISMOV24	CVCL_A5TC	CAISMOV24	ascitic fluid	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep3_C6_1_9515	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_CAISMOV24_Rep3_C6_1_9515.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	CAISMOV24
MPSC1_Rep1	Homo sapiens	not available	not available	1	ovarian serous adenocarcinoma	cell line	not available	not available	female	MPSC1	MPSC1	CVCL_9822	MPSC1	not available	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep1_B1_1_9513	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep1_B1_1_9513.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	MPSC1
MPSC1_Rep2	Homo sapiens	not available	not available	2	ovarian serous adenocarcinoma	cell line	not available	not available	female	MPSC1	MPSC1	CVCL_9822	MPSC1	not available	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep2_B2_1_9510	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep2_B2_1_9510.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	MPSC1
MPSC1_Rep3	Homo sapiens	not available	not available	3	ovarian serous adenocarcinoma	cell line	not available	not available	female	MPSC1	MPSC1	CVCL_9822	MPSC1	not available	Roswell Park Memorial Institute 1640 Medium	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep3_B3_1_9504	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_MPSC1_Rep3_B3_1_9504.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	MPSC1
VOA3448_Rep1	Homo sapiens	not available	not available	1	ovarian serous adenocarcinoma	cell line	not available	42Y	female	VOA3448	VOA3448	CVCL_VQ40	VOA3448	not available	not available	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep1_C1_1_9514	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep1_C1_1_9514.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	VOA3448
VOA3448_Rep2	Homo sapiens	not available	not available	2	ovarian serous adenocarcinoma	cell line	not available	42Y	female	VOA3448	VOA3448	CVCL_VQ40	VOA3448	not available	not available	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep2_C2_1_9505	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep2_C2_1_9505.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	VOA3448
VOA3448_Rep3	Homo sapiens	not available	not available	3	ovarian serous adenocarcinoma	cell line	not available	42Y	female	VOA3448	VOA3448	CVCL_VQ40	VOA3448	not available	not available	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep3_C3_1_9512	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA3448_Rep3_C3_1_9512.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	VOA3448
VOA4627_Rep1	Homo sapiens	ascitic fluid	not available	1	ovarian serous adenocarcinoma	cell line	not available	42Y	female	VOA4627	VOA4627	CVCL_VQ38	VOA4627	ascitic fluid	not available	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA4627_Rep1_B7_1_9506	proteomic profiling by mass spectrometry	1	20220506_TIMS02_LiSc_SA_S333_SBOT_CL_VOA4627_Rep1_B7_1_9506.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.6	1.6	400	1200	VOA4627
