source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
LC5_7_2	Homo sapiens	not available	not applicable	not available	1	LC5_7_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LC5_7_2.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LC5_7_2.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LN4_1E6_MSA	Homo sapiens	not available	not applicable	not available	1	LN4_1E6_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LN4_1E6_MSA.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LN4_1E6_MSA.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HN4_1E5_LTQ	Homo sapiens	not available	not applicable	not available	1	HN4_1E5_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HN4_1E5_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HN4_1E5_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LC5_1A	Homo sapiens	not available	not applicable	not available	1	LC5_1A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LC5_1A.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LC5_1A.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HN4_1E4_LTQ	Homo sapiens	not available	not applicable	not available	1	HN4_1E4_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HN4_1E4_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HN4_1E4_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HN4_1E3_MSA	Homo sapiens	not available	not applicable	not available	1	HN4_1E3_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HN4_1E3_MSA.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HN4_1E3_MSA.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LC2_1E2_LTQ	Homo sapiens	not available	not applicable	not available	1	LC2_1E2_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LC2_1E2_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LC2_1E2_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HC2_9E1_MSA	Homo sapiens	not available	not applicable	not available	1	HC2_9E1_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HC2_9E1_MSA.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HC2_9E1_MSA.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LC3_2E1_LTQ	Homo sapiens	not available	not applicable	not available	1	LC3_2E1_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LC3_2E1_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LC3_2E1_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HC5_E2_LTQ	Homo sapiens	not available	not applicable	not available	1	HC5_E2_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HC5_E2_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HC5_E2_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HC2_3E2_LTQ	Homo sapiens	not available	not applicable	not available	1	HC2_3E2_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HC2_3E2_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HC2_3E2_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LC5_1_2_9_2	Homo sapiens	not available	not applicable	not available	1	LC5_1_2_9_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LC5_1_2_9_2.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LC5_1_2_9_2.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HC4_6E1_LTQ	Homo sapiens	not available	not applicable	not available	1	HC4_6E1_LTQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HC4_6E1_LTQ.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HC4_6E1_LTQ.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
HN5_2E2_MSA	Homo sapiens	not available	not applicable	not available	1	HN5_2E2_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	HN5_2E2_MSA.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/HN5_2E2_MSA.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
LN5_9E1_MSA	Homo sapiens	not available	not applicable	not available	1	LN5_9E1_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	LN5_9E1_MSA.RAW.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000225/LN5_9E1_MSA.RAW.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
