source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]	factor value[developmental stage]
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	1	1	01678_H01_P017713_S00_I00_U01_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	2	1	01678_H02_P017713_S00_I00_U02_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	3	1	01678_H03_P017713_S00_I00_U03_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	4	1	01678_H04_P017713_S00_I00_U04_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	5	1	01678_H05_P017713_S00_I00_U05_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	6	1	01678_H06_P017713_S00_I00_U06_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF10_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	1	1	01678_H01_P017713_S00_I00_U01_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 10
rosette_leaf_LF10_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	2	1	01678_H02_P017713_S00_I00_U02_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 10
rosette_leaf_LF10_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	3	1	01678_H03_P017713_S00_I00_U03_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 10
rosette_leaf_LF10_phospho_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	enrichment of phosphorylated protein	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	High-pH reversed-phase chromatography (hpHRP)	4	1	01678_H04_P017713_S00_I00_U04_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 10
