source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]	factor value[developmental stage]
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	1	1	01678_A01_P017712_I00_N01_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	2	1	01678_A02_P017712_I00_N02_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	3	1	01678_A03_P017712_I00_N03_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	4	1	01678_A04_P017712_I00_N04_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	5	1	01678_A05_P017712_I00_N05_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	6	1	01678_A06_P017712_I00_N06_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	7	1	01678_A07_P017712_I00_N07_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	8	1	01678_A08_P017712_I00_N08_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	9	1	01678_A09_P017712_I00_N09_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
rosette_leaf_LF1_rep1	Arabidopsis thaliana	rosette leaf	not applicable	normal	rosette growth stage	not available	Col-0	continuous white light, 22C	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	Strong anion-exchange chromatography (SAX)	10	1	01678_A10_P017712_I00_N10_R1_TMT10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	rosette leaf 1
