source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf annotation tool]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not applicable	not applicable	not applicable	empty	not applicable	empty	0	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	Homo sapiens	spinal cord	not available	not available	not available	not available	not available	not available	interneuron	not applicable	cell	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	1	2	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	Homo sapiens	spinal cord	not available	not available	not available	not available	not available	not available	interneuron	not applicable	cell	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	1	3	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not applicable	not applicable	not applicable	empty	not applicable	empty	0	4	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	Homo sapiens	spinal cord	not available	not available	not available	not available	not available	not available	motor neuron	not applicable	cell	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	1	5	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	Homo sapiens	spinal cord	not available	not available	not available	not available	not available	not available	motor neuron	not applicable	cell	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	1	6	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not available	HeLa	cell line	single cell	manual aspiration	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	1	7	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not applicable	not applicable	not applicable	empty	not applicable	empty	0	8	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not available	HeLa	cell line	single cell	manual aspiration	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	1	9	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	Homo sapiens	not applicable	not available	not available	not available	not available	not applicable	not available	not available	HeLa	cell line	single cell	manual aspiration	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	1	10	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	HCD	30% NCE	not available	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	not applicable	not available	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	human v1.1.0
