source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[phenotype]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
G0_1	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G0	not available	not available	not available	not available	not available	1	20220221_LU50HMC83_pl22011_CL_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC83_pl22011_CL_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G0
G0_2	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G0	not available	not available	not available	not available	not available	2	20220221_LU50HMC84_pl22011_CL_04	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC84_pl22011_CL_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G0
G0_3	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G0	not available	not available	not available	not available	not available	3	20220221_LU50HMC86_pl22011_CL_05	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC86_pl22011_CL_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G0
G1SG2M_1	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G1/S/G2/M	not available	not available	not available	not available	not available	1	20220221_LU50HMC87_pl22011_CL_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC87_pl22011_CL_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G1/S/G2/M
G1SG2M_2	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G1/S/G2/M	not available	not available	not available	not available	not available	2	20220221_LU50HMC89_pl22011_CL_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC89_pl22011_CL_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G1/S/G2/M
G1SG2M_3	Homo sapiens	bone marrow	acute myeloid leukemia	leukocyte	cell	G1/S/G2/M	not available	not available	not available	not available	not available	3	20220221_LU50HMC90_pl22011_CL_06	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=dithioerythritol;AC=CHEBI:17456	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	NT=orbitrap;AC=MS:1000484	not available	not available	not applicable	400	1240	28	1	1	20220221_LU50HMC90_pl22011_CL_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	G1/S/G2/M
