source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
A-M0-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	1	not available	14566	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3641_6-13-2022_Blanco_14566_DIA_140min_d10_8ul_RB1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M1-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	2	not available	14567	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3647_6-14-2022_Blanco_14567_DIA_140min_d10_8ul_RB5.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M2-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	3	not available	14568	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3653_6-14-2022_Blanco_14568_DIA_140min_d10_8ul_RC1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M0-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	4	not available	14569	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3642_6-13-2022_Blanco_14569_DIA_140min_d10_8ul_RB2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M1-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	5	not available	14570	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3648_6-14-2022_Blanco_14570_DIA_140min_d10_8ul_RB6.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M2-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	6	not available	14571	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3654_6-14-2022_Blanco_14571_DIA_140min_d10_8ul_RC2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M0-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	7	not available	14572	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3643_6-13-2022_Blanco_14572_DIA_140min_d10_8ul_RB3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M1-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	8	not available	14573	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3649_6-14-2022_Blanco_14573_DIA_140min_d10_8ul_RB7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M2-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	9	not available	14574	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3655_6-14-2022_Blanco_14574_DIA_140min_d10_8ul_RC3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M0-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	10	not available	14575	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3644_6-14-2022_Blanco_14575_DIA_140min_d10_8ul_RB4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
