source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[fusion protein]	factor value[replicate]
CA92-1	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	1	16196	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16196_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62-GFP	repl1
CA92-2	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	2	16197	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16197_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62LIR-GFP	repl1
CA92-3	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	3	16198	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16198_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62TMD-GFP	repl1
CA92-4	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	4	16199	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16199_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Sec62cyt107	repl1
CA92-5	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	5	16200	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16200_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Sec62cyt107LIR	repl1
CA92-6	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	6	16201	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16201_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134B-GFP	repl1
CA92-7	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	7	16202	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16202_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134BLIR-GFP	repl1
CA92-8	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	8	16203	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16203_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134BTMD-GFP	repl1
CA92-9	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	9	16204	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16204_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Fam134Bcyt223	repl1
CA92-10	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	10	16205	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16205_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Fam134Bcyt223LIR	repl1
