source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD064296-Sample-1	Homo sapiens	heart	immunoglobulin light chain amyloidosis	not available	not available	not available	1	250207X_SAM14049_09-109_Water_Fraction3_Spot15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	250207X_SAM14049_09-109_Water_Fraction3_Spot15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	immunoglobulin light chain amyloidosis
PXD064296-Sample-2	Homo sapiens	heart	immunoglobulin light chain amyloidosis	not available	not available	not available	1	250207X_SAM14050__09-109_Water_Fraction3_Spot16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	250207X_SAM14050__09-109_Water_Fraction3_Spot16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	immunoglobulin light chain amyloidosis
PXD064296-Sample-3	Homo sapiens	heart	immunoglobulin light chain amyloidosis	not available	not available	not available	1	250207X_SAM14072_09-109_Water_Fraction_3_total_protein_digest	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	250207X_SAM14072_09-109_Water_Fraction_3_total_protein_digest.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	immunoglobulin light chain amyloidosis
