source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[plex batch]
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_7%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	1	1	20171110_RS_AI_Bat_1-I_7%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_10%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	2	1	20171110_RS_AI_Bat_1-I_10%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_12%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	3	1	20171110_RS_AI_Bat_1-I_12%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_15%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	4	1	20171110_RS_AI_Bat_1-I_15%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_17%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	5	1	20171110_RS_AI_Bat_1-I_17%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_20%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	6	1	20171110_RS_AI_Bat_1-I_20%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_22%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	7	1	20171110_RS_AI_Bat_1-I_22%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_25%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	8	1	20171110_RS_AI_Bat_1-I_25%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_27%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	9	1	20171110_RS_AI_Bat_1-I_27%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
PaKiT03_TMT_Bat_1	NT=Pteropus alecto;AC=NCBITaxon:9402	NT=kidney;AC=UBERON:0002113	NT=kidney epithelial cell;AC=CL:0002518	NT=normal;AC=PATO:0000461	PaKiT03	CVCL_DR89	PaKiT03	not available	not available	not applicable	cell	1	20171110_RS_AI_Bat_1-I_30%	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT10plex;AC=PRIDE:0000667	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT10plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.06 Da	High-pH reversed-phase chromatography (hpHRP)	10	1	20171110_RS_AI_Bat_1-I_30%.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Bat_1
