source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[strain/breed]	characteristics[time]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[ms2 mass analyzer]	comment[number of missed cleavages]	comment[separation]	comment[collision energy]	factor value[carbon source]
Sample 1	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	1	LGAM 436	20 day	glucose	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28857_Ap_IonOpt_PRC-6150_shotgun-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	glucose
Sample 2	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	2	LGAM 436	20 day	glucose	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28859_Ap_IonOpt_PRC-6150_shotgun-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	glucose
Sample 3	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	3	LGAM 436	20 day	Psfilm	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28861_Ap_IonOpt_PRC-6150_shotgun-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfilm
Sample 4	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	4	LGAM 436	20 day	Psfilm	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28863_Ap_IonOpt_PRC-6150_shotgun-4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfilm
Sample 5	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	5	LGAM 436	20 day	Psfilm	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28865_Ap_IonOpt_PRC-6150_shotgun-5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfilm
Sample 6	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	6	LGAM 436	20 day	Psfoam	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28867_Ap_IonOpt_PRC-6150_shotgun-6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfoam
Sample 7	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	7	LGAM 436	20 day	Psfoam	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28869_Ap_IonOpt_PRC-6150_shotgun-7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfoam
Sample 8	Abortiporus biennis	secretome	not applicable	not applicable	not applicable	8	LGAM 436	20 day	Psfoam	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000422;NT=HCD	30 ppm	0.02 Da	1	1	B28871_Ap_IonOpt_PRC-6150_shotgun-8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	Psfoam
