source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
allSpectra.HCD.ITMS.iso_473.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_473.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_473.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_473.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_534.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_534.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_534.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_534.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_11.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_11.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_11.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_11.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_890.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_890.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_890.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_890.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_273.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_273.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_273.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_273.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_325.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_325.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_325.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_325.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1132.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1132.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1132.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1132.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_804.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_804.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_804.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_804.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1176.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1176.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1176.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1176.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_175.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_175.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_175.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_175.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
