source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[acquisition method]	comment[ion mobility]	comment[ms2 analyzer type]
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	1	EC2915BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	2	EC2917BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	3	EC2919BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	4	EC2939BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	5	EC2941BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 1	Mus musculus	not applicable	not applicable	not applicable	not available	1	NIST mAb	run_6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	6	EC2943BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	1	EC4073BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	2	EC4076BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	3	EC4079BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	4	EC4178BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	5	EC4181BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	6	EC4184BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	1	EC4064BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	2	EC4067BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	3	EC4070BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	not available	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	4	EC4169BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	5	EC4172BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	1	6	EC4175BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=FAIMS compensation voltage;AC=MS:1001581	N=ion trap
