source name	characteristics[sample name]	characteristics[environmental medium]	characteristics[project name]	characteristics[sample storage]	characteristics[host organism]	characteristics[host disease status]	characteristics[host body site]	characteristics[host diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
Sheep_1	Sheep_1	fecal material	Sheep fecal microbiota - Diversity and functions of the sheep faecal microbiota: a multi-omic characterization	-80°C	Ovis aries	not available	rectum	free-grazing; commercial feed limited to milking (max. 400 g/day)	Sheep_1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004524/Sheep_1.raw	v3.0.0	ms-proteomics v1.1.0	human-gut v1.0.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
Sheep_2	Sheep_2	fecal material	Sheep fecal microbiota - Diversity and functions of the sheep faecal microbiota: a multi-omic characterization	-80°C	Ovis aries	not available	rectum	free-grazing; commercial feed limited to milking (max. 400 g/day)	Sheep_2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004524/Sheep_2.raw	v3.0.0	ms-proteomics v1.1.0	human-gut v1.0.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
Sheep_3	Sheep_3	fecal material	Sheep fecal microbiota - Diversity and functions of the sheep faecal microbiota: a multi-omic characterization	-80°C	Ovis aries	not available	rectum	free-grazing; commercial feed limited to milking (max. 400 g/day)	Sheep_3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004524/Sheep_3.raw	v3.0.0	ms-proteomics v1.1.0	human-gut v1.0.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
Sheep_4	Sheep_4	fecal material	Sheep fecal microbiota - Diversity and functions of the sheep faecal microbiota: a multi-omic characterization	-80°C	Ovis aries	not available	rectum	free-grazing; commercial feed limited to milking (max. 400 g/day)	Sheep_4.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004524/Sheep_4.raw	v3.0.0	ms-proteomics v1.1.0	human-gut v1.0.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
Sheep_5	Sheep_5	fecal material	Sheep fecal microbiota - Diversity and functions of the sheep faecal microbiota: a multi-omic characterization	-80°C	Ovis aries	not available	rectum	free-grazing; commercial feed limited to milking (max. 400 g/day)	Sheep_5.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004524/Sheep_5.raw	v3.0.0	ms-proteomics v1.1.0	human-gut v1.0.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
