source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[tool metadata]
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02440_2p_ih25cm1_PM2_PRC-6517_Crabbe_1_20240906231317.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02440_2p_ih25cm1_PM2_PRC-6517_Crabbe_1_20240906231317.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02442_2p_ih25cm1_PM2_PRC-6517_Crabbe_2_20240907021759.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02442_2p_ih25cm1_PM2_PRC-6517_Crabbe_2_20240907021759.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02444_2p_ih25cm1_PM2_PRC-6517_Crabbe_3_20240907052259.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02444_2p_ih25cm1_PM2_PRC-6517_Crabbe_3_20240907052259.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02446_2p_ih25cm1_PM2_PRC-6517_Crabbe_4_20240907082800.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	4	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02446_2p_ih25cm1_PM2_PRC-6517_Crabbe_4_20240907082800.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02448_2p_ih25cm1_PM2_PRC-6517_Crabbe_5_20240907113249.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	5	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02448_2p_ih25cm1_PM2_PRC-6517_Crabbe_5_20240907113249.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02450_2p_ih25cm1_PM2_PRC-6517_Crabbe_6_20240907143734.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	6	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02450_2p_ih25cm1_PM2_PRC-6517_Crabbe_6_20240907143734.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02454_2p_ih25cm1_PM2_PRC-6517_Crabbe_7_20240907194729.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	7	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02454_2p_ih25cm1_PM2_PRC-6517_Crabbe_7_20240907194729.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02456_2p_ih25cm1_PM2_PRC-6517_Crabbe_8_20240907225237.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	8	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02456_2p_ih25cm1_PM2_PRC-6517_Crabbe_8_20240907225237.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02458_2p_ih25cm1_PM2_PRC-6517_Crabbe_9_20240908015744.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	9	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02458_2p_ih25cm1_PM2_PRC-6517_Crabbe_9_20240908015744.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02462_2p_ih25cm1_PM2_PRC-6517_Crabbe_11_20240908120811.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	11	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02462_2p_ih25cm1_PM2_PRC-6517_Crabbe_11_20240908120811.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
