source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD035535-Sample-11	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_B5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-12	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_B6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-13	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-14	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-15	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-16	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-17	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-18	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_C6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-19	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_D1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-20	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_D2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-21	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_D3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
PXD035535-Sample-22	Homo sapiens	not available	not available	1	210428_BenP_Exploris3_BP-2168_ALPK_D4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	210428_BenP_Exploris3_BP-2168_ALPK_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
