source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
MCF7_tot_1	Homo sapiens	NT=mammary gland;AC=UBERON:0001911	NT=invasive ductal breast carcinoma;AC=MONDO:0004953	NT=mammary gland epithelial cell;AC=CL:0002327	cell line	NT=MCF-7;AC=EFO:0001203	CVCL_0031	MCF-7	NT=pleural effusion;AC=UBERON:0000175	69Y	female	NT=European ancestry;AC=HANCESTRO:0005	NT=adult;AC=EFO:0001272	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	not available	not available	not available	not applicable	1	MCF7_tot_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	20 ppm	not available	1	1	MCF7_tot_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=MCF-7;AC=EFO:0001203
MCF7_tot_2	Homo sapiens	NT=mammary gland;AC=UBERON:0001911	NT=invasive ductal breast carcinoma;AC=MONDO:0004953	NT=mammary gland epithelial cell;AC=CL:0002327	cell line	NT=MCF-7;AC=EFO:0001203	CVCL_0031	MCF-7	NT=pleural effusion;AC=UBERON:0000175	69Y	female	NT=European ancestry;AC=HANCESTRO:0005	NT=adult;AC=EFO:0001272	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	not available	not available	not available	not applicable	2	MCF7_tot_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	20 ppm	not available	1	1	MCF7_tot_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=MCF-7;AC=EFO:0001203
MCF7_tot_3	Homo sapiens	NT=mammary gland;AC=UBERON:0001911	NT=invasive ductal breast carcinoma;AC=MONDO:0004953	NT=mammary gland epithelial cell;AC=CL:0002327	cell line	NT=MCF-7;AC=EFO:0001203	CVCL_0031	MCF-7	NT=pleural effusion;AC=UBERON:0000175	69Y	female	NT=European ancestry;AC=HANCESTRO:0005	NT=adult;AC=EFO:0001272	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not available	not available	not available	not available	not applicable	3	MCF7_tot_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	20 ppm	not available	1	1	MCF7_tot_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=MCF-7;AC=EFO:0001203
