source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[sample type]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host disease status]
2095	2095	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2095	not available	feces	20191203_NJ_PW_2095_58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2095_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2128	2128	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2128	not available	feces	20191203_NJ_PW_2128_33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2128_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2169	2169	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2169	not available	feces	20191203_NJ_PW_2169_83	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2169_83.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2507	2507	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2507	not available	feces	20191203_NJ_PW_2507_85	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2507_85.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2518	2518	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2518	not available	feces	20191203_NJ_PW_2518_84	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2518_84.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2600	2600	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2600	not available	feces	20191203_NJ_PW_2600_57	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2600_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
2675	2675	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	2675	not available	feces	20191203_NJ_PW_2675_59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_2675_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
DKK005	DKK005	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	DKK005	not available	feces	20191203_NJ_PW_DKK005_65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_DKK005_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
DKK009	DKK009	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	DKK009	not available	feces	20191203_NJ_PW_DKK009_101	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_DKK009_101.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
DKK010	DKK010	human gut metagenome	feces	not applicable	1	feces	DeNoPa	Germany	environmental sample	Homo sapiens	DKK010	not available	feces	20191203_NJ_PW_DKK010_90	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	10 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	1	20191203_NJ_PW_DKK010_90.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not available
