source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
MCF7_abema_IgG_IP_R1	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	1	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_04.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MCF7_abema_IgG_IP_R2	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	2	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_05.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MCF7_abema_IgG_IP_R3	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	3	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_06.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MCF7_abema_Rb_IP_R1	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	1	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MCF7_abema_Rb_IP_R2	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	2	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MCF7_abema_Rb_IP_R3	Homo sapiens	not applicable	not applicable	ER+ breast cancer	MCF7	3	MCF7_IP	mass spectrometry	Data-independent acquisition	Orbitrap Ascend [MS:1003624]	NT=label free sample;AC=MS:1002038	Trypsin	1	1	241217_MT-10045_12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
