source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD049426-Sample-11	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_11_RB3_1_6759	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_11_RB3_1_6759.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-12	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_12_RB4_1_6760	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_12_RB4_1_6760.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-13	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_13_RB5_1_6761	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_13_RB5_1_6761.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-14	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_14_RB6_1_6762	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_14_RB6_1_6762.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-15	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_15_RB7_1_6763	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_15_RB7_1_6763.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-16	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_16_RB8_1_6764	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_16_RB8_1_6764.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-17	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_17_RC1_1_6765	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_17_RC1_1_6765.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-18	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_18_RC2_1_6766	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_18_RC2_1_6766.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-19	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_19_RC3_1_6767	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_19_RC3_1_6767.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD049426-Sample-20	Mus musculus	heart	regular cardiac myocyte	not available	1	H_Amedei_07112022_P33_1254_WT_LV_A_20_RC4_1_6768	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	H_Amedei_07112022_P33_1254_WT_LV_A_20_RC4_1_6768.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
