source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD030348-Sample-65	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 226	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04360_tg_8month_Cortex_1.raw	ANAKIN_20160908_MK_EWB_04360_tg_8month_Cortex_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-66	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 227	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04360_tg_8month_Cortex_2.raw	ANAKIN_20160908_MK_EWB_04360_tg_8month_Cortex_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-67	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 228	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04363_wt_8month_Cortex_1.raw	ANAKIN_20160908_MK_EWB_04363_wt_8month_Cortex_1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-68	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 229	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04363_wt_8month_Cortex_2.raw	ANAKIN_20160908_MK_EWB_04363_wt_8month_Cortex_2.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-69	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 230	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04376_wt_8month_Cortex_1.raw	ANAKIN_20160908_MK_EWB_04376_wt_8month_Cortex_1.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-70	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 231	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04376_wt_8month_Cortex_2.raw	ANAKIN_20160908_MK_EWB_04376_wt_8month_Cortex_2.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-71	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 232	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04377_wt_8month_Cortex_1.raw	ANAKIN_20160908_MK_EWB_04377_wt_8month_Cortex_1.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-72	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 233	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04377_wt_8month_Cortex_2.raw	ANAKIN_20160908_MK_EWB_04377_wt_8month_Cortex_2.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-73	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 234	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04378_wt_8month_Cortex_1.raw	ANAKIN_20160908_MK_EWB_04378_wt_8month_Cortex_1.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-74	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 235	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160908_MK_EWB_04378_wt_8month_Cortex_2.raw	ANAKIN_20160908_MK_EWB_04378_wt_8month_Cortex_2.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
