source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000008-P26	Homo sapiens	Blood plasma	not available	not available	not available	1	study sample	blood plasma	PAD000008-r00001-P26	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P62	Homo sapiens	Blood plasma	not available	not available	not available	2	study sample	blood plasma	PAD000008-r00002-P62	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P75	Homo sapiens	Blood plasma	not available	not available	not available	3	study sample	blood plasma	PAD000008-r00003-P75	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P55	Homo sapiens	Blood plasma	not available	not available	not available	4	study sample	blood plasma	PAD000008-r00004-P55	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P76	Homo sapiens	Blood plasma	not available	not available	not available	5	study sample	blood plasma	PAD000008-r00005-P76	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P11	Homo sapiens	Blood plasma	not available	not available	not available	6	study sample	blood plasma	PAD000008-r00006-P11	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P24	Homo sapiens	Blood plasma	not available	not available	not available	7	study sample	blood plasma	PAD000008-r00007-P24	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P82	Homo sapiens	Blood plasma	not available	not available	not available	8	study sample	blood plasma	PAD000008-r00008-P82	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P47	Homo sapiens	Blood plasma	not available	not available	not available	9	study sample	blood plasma	PAD000008-r00009-P47	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P44	Homo sapiens	Blood plasma	not available	not available	not available	10	study sample	blood plasma	PAD000008-r00010-P44	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P60	Homo sapiens	Blood plasma	not available	not available	not available	11	study sample	blood plasma	PAD000008-r00011-P60	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P16	Homo sapiens	Blood plasma	not available	not available	not available	12	study sample	blood plasma	PAD000008-r00012-P16	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P18	Homo sapiens	Blood plasma	not available	not available	not available	13	study sample	blood plasma	PAD000008-r00013-P18	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P3	Homo sapiens	Blood plasma	not available	not available	not available	14	study sample	blood plasma	PAD000008-r00014-P3	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P8	Homo sapiens	Blood plasma	not available	not available	not available	15	study sample	blood plasma	PAD000008-r00015-P8	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	1362700115	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
