source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Ecoli_MG1655_DeltaAhp_1	Escherichia coli	cell	not available	1	not available	Ecoli_MG1655_DeltaAhp_1	proteomic profiling by mass spectrometry	1	threegenes6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_2	Escherichia coli	cell	not available	2	not available	Ecoli_MG1655_DeltaAhp_2	proteomic profiling by mass spectrometry	1	Ahp7.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_3	Escherichia coli	cell	not available	3	not available	Ecoli_MG1655_DeltaAhp_3	proteomic profiling by mass spectrometry	1	Ahp5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_4	Escherichia coli	cell	not available	4	not available	Ecoli_MG1655_DeltaAhp_4	proteomic profiling by mass spectrometry	1	threegenes4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_H2O2_1	Escherichia coli	cell	not available	1	not available	Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_H2O2_1	proteomic profiling by mass spectrometry	1	6threegenes_H2O2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_5	Escherichia coli	cell	not available	5	not available	Ecoli_MG1655_DeltaAhp_5	proteomic profiling by mass spectrometry	1	Ahp4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_1	Escherichia coli	cell	not available	1	not available	Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_1	proteomic profiling by mass spectrometry	1	threegenes5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_2	Escherichia coli	cell	not available	2	not available	Ecoli_MG1655_DeltaAhp_DeltaKatE_DeltaKatG_2	proteomic profiling by mass spectrometry	1	threegenes7.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_6	Escherichia coli	cell	not available	6	not available	Ecoli_MG1655_DeltaAhp_6	proteomic profiling by mass spectrometry	1	Ahp1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
Ecoli_MG1655_DeltaAhp_7	Escherichia coli	cell	not available	7	not available	Ecoli_MG1655_DeltaAhp_7	proteomic profiling by mass spectrometry	1	Ahp6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	20 ppm	NT=carbamidomethyl [C];AC=UNIMOD:4; NT=oxidation [M];AC=UNIMOD:35
