source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD039144-Sample-1	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_heart_rep1	tissue	1	Wild-type mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_heart
PXD039144-Sample-2	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_heart_rep2	tissue	2	Wild-type mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_heart
PXD039144-Sample-3	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_heart_rep3	tissue	3	Wild-type mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_WT-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221212_F1_R3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_heart
PXD039144-Sample-4	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=type 2 diabetes mellitus;AC=MONDO:0005148	not available	not available	not available	not available	dbdb_heart_rep1	tissue	1	db/db diabetic mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dbdb_heart
PXD039144-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=type 2 diabetes mellitus;AC=MONDO:0005148	not available	not available	not available	not available	dbdb_heart_rep2	tissue	2	db/db diabetic mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dbdb_heart
PXD039144-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=type 2 diabetes mellitus;AC=MONDO:0005148	not available	not available	not available	not available	dbdb_heart_rep3	tissue	3	db/db diabetic mouse heart tissue	not available	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	1	1	Lumos3_HomeMadeCol_ChenXing_LJL_dbdb-heart_75um_50cm_360min_HCD30_stepped10_PDEThcD35_20221213_F1_R3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dbdb_heart
