source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20250916-1753_AS2_002076_250916_FATP5Liverkati_Sample5	Mus musculus	Liver	not available	not available	1	20250916-1753_AS2_002076_250916_FATP5Liverkati_Sample5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250916-1753_AS2_002076_250916_FATP5Liverkati_Sample5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250916-2130_AS2_002079_250916_FATP5Liverkati_Sample8	Mus musculus	Liver	not available	not available	1	20250916-2130_AS2_002079_250916_FATP5Liverkati_Sample8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250916-2130_AS2_002079_250916_FATP5Liverkati_Sample8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250916-1413_AS2_002073_250916_FATP5Liverkati_Sample2	Mus musculus	Liver	not available	not available	1	20250916-1413_AS2_002073_250916_FATP5Liverkati_Sample2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250916-1413_AS2_002073_250916_FATP5Liverkati_Sample2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250916-1641_AS2_002075_250916_FATP5Liverkati_Sample4	Mus musculus	Liver	not available	not available	1	20250916-1641_AS2_002075_250916_FATP5Liverkati_Sample4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250916-1641_AS2_002075_250916_FATP5Liverkati_Sample4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250917-1845_AS2_002098_250916_FATP5Liverkati_Sample15	Mus musculus	Liver	not available	not available	1	20250917-1845_AS2_002098_250916_FATP5Liverkati_Sample15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250917-1845_AS2_002098_250916_FATP5Liverkati_Sample15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250916-1905_AS2_002077_250916_FATP5Liverkati_Sample6	Mus musculus	Liver	not available	not available	1	20250916-1905_AS2_002077_250916_FATP5Liverkati_Sample6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250916-1905_AS2_002077_250916_FATP5Liverkati_Sample6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250917-1733_AS2_002097_250916_FATP5Liverkati_Sample14_20250917162143	Mus musculus	Liver	not available	not available	1	20250917-1733_AS2_002097_250916_FATP5Liverkati_Sample14_20250917162143	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250917-1733_AS2_002097_250916_FATP5Liverkati_Sample14_20250917162143.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250917-0338_AS2_002084_250916_FATP5Liverkati_Sample12	Mus musculus	Liver	not available	not available	1	20250917-0338_AS2_002084_250916_FATP5Liverkati_Sample12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250917-0338_AS2_002084_250916_FATP5Liverkati_Sample12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250917-1957_AS2_002099_250916_FATP5Liverkati_Sample16	Mus musculus	Liver	not available	not available	1	20250917-1957_AS2_002099_250916_FATP5Liverkati_Sample16	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250917-1957_AS2_002099_250916_FATP5Liverkati_Sample16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
20250917-2109_AS2_002100_250916_FATP5Liverkati_Sample17	Mus musculus	Liver	not available	not available	1	20250917-2109_AS2_002100_250916_FATP5Liverkati_Sample17	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	20250917-2109_AS2_002100_250916_FATP5Liverkati_Sample17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Liver
