source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
EColi1	Escherichia coli	not available	not available	1	not available	EColi1_proteomics	proteomic profiling by mass spectrometry	1	12-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi2	Escherichia coli	not available	not available	1	not available	EColi2_proteomics	proteomic profiling by mass spectrometry	1	19-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi3	Escherichia coli	not available	not available	1	not available	EColi3_proteomics	proteomic profiling by mass spectrometry	1	14-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi4	Escherichia coli	not available	not available	1	not available	EColi4_proteomics	proteomic profiling by mass spectrometry	1	08-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi5	Escherichia coli	not available	not available	1	not available	EColi5_proteomics	proteomic profiling by mass spectrometry	1	99-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi6	Escherichia coli	not available	not available	1	not available	EColi6_proteomics	proteomic profiling by mass spectrometry	1	15-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi7	Escherichia coli	not available	not available	1	not available	EColi7_proteomics	proteomic profiling by mass spectrometry	1	270911-3art-009.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi8	Escherichia coli	not available	not available	1	not available	EColi8_proteomics	proteomic profiling by mass spectrometry	1	11-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi9	Escherichia coli	not available	not available	1	not available	EColi9_proteomics	proteomic profiling by mass spectrometry	1	04-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi10	Escherichia coli	not available	not available	1	not available	EColi10_proteomics	proteomic profiling by mass spectrometry	1	02-EColi2DFASP.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
