source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[treatment]
OMM2.3_NC	Homo sapiens	liver	uveal melanoma	melanocyte	cell line	OMM2.3	CVCL_C306	OMM2.3	liver	not available	male	not available	untreated	not applicable	1	NC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;30 NCE;35 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z	1500m/z	1	1	NC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	untreated	not applicable
OMM2.3_DHA	Homo sapiens	liver	uveal melanoma	melanocyte	cell line	OMM2.3	CVCL_C306	OMM2.3	liver	not available	male	not available	Artenimol	not applicable	1	DHA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;30 NCE;35 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z	1500m/z	1	1	DHA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Artenimol	not applicable
OMM2.3_CCCP	Homo sapiens	liver	uveal melanoma	melanocyte	cell line	OMM2.3	CVCL_C306	OMM2.3	liver	not available	male	not available	CCCP	not applicable	1	CCCP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;30 NCE;35 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z	1500m/z	1	1	CCCP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CCCP	not applicable
OMM2.3_Comb	Homo sapiens	liver	uveal melanoma	melanocyte	cell line	OMM2.3	CVCL_C306	OMM2.3	liver	not available	male	not available	Artenimol	CCCP	1	Comb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;30 NCE;35 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z	1500m/z	1	1	Comb.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Artenimol	CCCP
