source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[sampling time]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD036826-phospho-Sample-1	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	0 hour	1	cell line	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_83.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_83.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-1	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	0 hour	2	cell line	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_106.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_106.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-1	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	0 hour	3	cell line	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_89.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_89.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-2	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	24 hour	1	cell line	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_108.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-2	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	24 hour	2	cell line	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_73.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-2	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	control	not applicable	not applicable	not applicable	24 hour	3	cell line	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200819_Erli_phos_3rep.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200819_Erli_phos_3rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control
PXD036826-phospho-Sample-3	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	metformin	metformin	10 mM	24 hour	24 hour	1	cell line	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_77.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_77.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	metformin
PXD036826-phospho-Sample-3	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	metformin	metformin	10 mM	24 hour	24 hour	2	cell line	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_123.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_123.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	metformin
PXD036826-phospho-Sample-3	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	metformin	metformin	10 mM	24 hour	24 hour	3	cell line	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_139.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_139.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	metformin
PXD036826-phospho-Sample-4	Homo sapiens	colon	colon adenocarcinoma	C2BBe1	CVCL_1096	cell line	72Y	adult	DMEM	enrichment of phosphorylated protein	not available	male	metformin	metformin	10 mM	30 minute	30 minute	1	cell line	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin/P;AC=MS:1001313	28% NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD036826/20200626_erli_phos_68.raw	20 ppm	350m/z-1650m/z	200m/z-2000m/z	20 ppm	1	20200626_erli_phos_68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	metformin
