source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[sample context]
PXD065961-Sample-1	not available	not applicable	not available	not applicable	1	not available	not available	not available	not available	not available	not available	E250501_01_AMC_HSA_C1_IV_Ecoli_Mix_TestInj	proteomic profiling by mass spectrometry	E250501_01_AMC_HSA_C1_IV_Ecoli_Mix_TestInj.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065961/E250501_01_AMC_HSA_C1_IV_Ecoli_Mix_TestInj.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=vinyl sulfone cross-linker C1	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=other-organisms;VV=v1.1.0	E. coli mix unenriched
PXD065961-Sample-1	not available	not applicable	not available	not applicable	1	not available	not available	not available	not available	not available	not available	E250501_04_AMC_HSA_C1_IV_Ecoli_Mix_Inj2	proteomic profiling by mass spectrometry	E250501_04_AMC_HSA_C1_IV_Ecoli_Mix_Inj2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065961/E250501_04_AMC_HSA_C1_IV_Ecoli_Mix_Inj2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=vinyl sulfone cross-linker C1	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=other-organisms;VV=v1.1.0	E. coli mix unenriched
