source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
biele003_thuxx001_20141214_14445_04_mcm10_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_04_mcm10_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_04_mcm10_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_05_mcm10_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_05_mcm10_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_05_mcm10_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_06_mcm10_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_06_mcm10_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_06_mcm10_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_07_wt_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_07_wt_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_07_wt_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_08_wt_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_08_wt_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_08_wt_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_09_wt_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_09_wt_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_09_wt_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_10_wt_his_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_10_wt_his_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_10_wt_his_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_11_wt_his_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_11_wt_his_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_11_wt_his_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
biele003_thuxx001_20141214_14445_12_wt_his_smt3_DDA	Saccharomyces cerevisiae	cell culture	not available	1	biele003_thuxx001_20141214_14445_12_wt_his_smt3_DDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	biele003_thuxx001_20141214_14445_12_wt_his_smt3_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
bieli003_thuxx001_20140919_14108_mcm10_1_his8smt3_INC	Saccharomyces cerevisiae	cell culture	not available	1	bieli003_thuxx001_20140919_14108_mcm10_1_his8smt3_INC	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	bieli003_thuxx001_20140919_14108_mcm10_1_his8smt3_INC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
