source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
shoot_10	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_10_RD8_1_7360	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_10_RD8_1_7360.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_11	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_11_RD9_1_7363	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_11_RD9_1_7363.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_12	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_12_RD10_1_7364	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_12_RD10_1_7364.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_14	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_14_RD11_1_7365	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_14_RD11_1_7365.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_15	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_15_RD12_1_7366	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_15_RD12_1_7366.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_16	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_16_RE1_1_7369	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_16_RE1_1_7369.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_17	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_17_RE2_1_7370	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_17_RE2_1_7370.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_18	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_18_RE3_1_7373	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_18_RE3_1_7373.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_01	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_1_RD1_1_7346	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_1_RD1_1_7346.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_20	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_20_RE4_1_7374	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_20_RE4_1_7374.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
