source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]
sample_1	parhyale hawaiensis	ovary	1	not pooled	normal	tissue	adult	not available	Parh-1.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002310/Parh-1.RAW	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=linear ion trap;AC=MS:1000291
sample_2	parhyale hawaiensis	ovary	2	not pooled	normal	tissue	adult	not available	Parh-2.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002310/Parh-2.RAW	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=linear ion trap;AC=MS:1000291
sample_3	parhyale hawaiensis	ovary	3	not pooled	normal	tissue	adult	not available	Parh-3.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002310/Parh-3.RAW	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=linear ion trap;AC=MS:1000291
sample_4	parhyale hawaiensis	ovary	4	not pooled	normal	tissue	adult	not available	Parh-4.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002310/Parh-4.RAW	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=linear ion trap;AC=MS:1000291
sample_5	parhyale hawaiensis	ovary	5	not pooled	normal	tissue	adult	not available	Parh-5.RAW	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002310/Parh-5.RAW	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.5 Da	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=linear ion trap;AC=MS:1000291
