source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
PXD070247-sample-1	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	wild type	1	PXD070247-assay-1	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_548_Mito_wt_GF4_1_5068.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
PXD070247-sample-2	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	wild type	2	PXD070247-assay-2	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_559_Mito_wt_GF6_1_5071.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
PXD070247-sample-3	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	wild type	3	PXD070247-assay-3	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_560_Mito_wt_GF8_1_5074.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
PXD070247-sample-4	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	wild type	4	PXD070247-assay-4	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_561_Mito_wt_GF10_1_5077.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
PXD070247-sample-5	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	wild type	5	PXD070247-assay-5	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_562_Mito_wt_GF12_1_5080.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
PXD070247-sample-6	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	ICP55 knockout	1	PXD070247-assay-6	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_558_Mito_KO1_GF5_1_5069.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	ICP55 knockout
PXD070247-sample-7	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	ICP55 knockout	2	PXD070247-assay-7	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_559_Mito_KO1_GF7_1_5072.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	ICP55 knockout
PXD070247-sample-8	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	ICP55 knockout	3	PXD070247-assay-8	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_560_Mito_KO1_GF9_1_5075.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	ICP55 knockout
PXD070247-sample-9	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	ICP55 knockout	4	PXD070247-assay-9	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_561_Mito_KO1_GF11_1_5078.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	ICP55 knockout
PXD070247-sample-10	Homo sapiens	kidney	normal	epithelial cell	cell line	fetal stage	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	ICP55 knockout	5	PXD070247-assay-10	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20 ppm	20 ppm	25	1	1	220524_A_MG_22025_DIA_CK_562_Mito_KO1_GG1_1_5081.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	ICP55 knockout
