source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
MJ003_10_F_140min_600ng_Run2.msf	MJ003_10_F_140min_600ng_Run2.msf	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_10_F_140min_600ng_Run2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_10_F_140min_600ng_Run2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_10_F_140min_600ng_Run2	MJ003_10_F_140min_600ng_Run2	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_10_F_140min_600ng_Run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_10_F_140min_600ng_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_11_F_140min_600ng_Run2.msf	MJ003_11_F_140min_600ng_Run2.msf	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_11_F_140min_600ng_Run2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_11_F_140min_600ng_Run2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_11_F_140min_600ng_Run2	MJ003_11_F_140min_600ng_Run2	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_11_F_140min_600ng_Run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_11_F_140min_600ng_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_12_F_140min_600ng_Run2.msf	MJ003_12_F_140min_600ng_Run2.msf	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_12_F_140min_600ng_Run2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_12_F_140min_600ng_Run2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_12_F_140min_600ng_Run2	MJ003_12_F_140min_600ng_Run2	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_12_F_140min_600ng_Run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_12_F_140min_600ng_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_14_F_140min_600ng_Run2.msf	MJ003_14_F_140min_600ng_Run2.msf	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_14_F_140min_600ng_Run2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_14_F_140min_600ng_Run2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_14_F_140min_600ng_Run2	MJ003_14_F_140min_600ng_Run2	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_14_F_140min_600ng_Run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_14_F_140min_600ng_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_1_F_140min_600ng_Run2.msf	MJ003_1_F_140min_600ng_Run2.msf	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_1_F_140min_600ng_Run2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_1_F_140min_600ng_Run2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
MJ003_1_F_140min_600ng_Run2	MJ003_1_F_140min_600ng_Run2	soil metagenome	soil	not applicable	not available	Repetition_of_comparison_of_sample_preservation_methods_for_field_collection_of_animal-microbe_symbioses_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	MJ003_1_F_140min_600ng_Run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MJ003_1_F_140min_600ng_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
