source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
dbm_4_proteome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	4	XB05734DA_dbm4_Slot1-39_1_6609	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_dbm4_Slot1-39_1_6609.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbm_2_lactylome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	2	XB05734B1DPLa_dbm2_Slot2-26_1_6667	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734B1DPLa_dbm2_Slot2-26_1_6667.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbm_3_lactylome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	3	XB05734B1DPLa_dbm3_Slot2-27_1_6669	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734B1DPLa_dbm3_Slot2-27_1_6669.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbdb_1_proteome	Mus musculus	heart	not applicable	tissue	type 2 diabetes mellitus	adult	male	C57BLKS	Lepr db/db	1	XB05734DA_db1_Slot1-32_1_6599	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_db1_Slot1-32_1_6599.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db
dbm_1_proteome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	1	XB05734DA_dbm1_Slot1-36_1_6605	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_dbm1_Slot1-36_1_6605.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbm_1_lactylome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	1	XB05734B1DPLa_dbm1_Slot2-25_1_6665	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734B1DPLa_dbm1_Slot2-25_1_6665.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbdb_1_lactylome	Mus musculus	heart	not applicable	tissue	type 2 diabetes mellitus	adult	male	C57BLKS	Lepr db/db	1	XB05734B1DPLa_db1_Slot2-21_1_6657	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734B1DPLa_db1_Slot2-21_1_6657.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db
dbm_3_proteome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	3	XB05734DA_dbm3_Slot1-38_1_6608	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_dbm3_Slot1-38_1_6608.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbm_2_proteome	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BLKS	Lepr db/+	2	XB05734DA_dbm2_Slot1-37_1_6606	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_dbm2_Slot1-37_1_6606.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/+
dbdb_4_proteome	Mus musculus	heart	not applicable	tissue	type 2 diabetes mellitus	adult	male	C57BLKS	Lepr db/db	4	XB05734DA_db4_Slot1-35_1_6603	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB05734DA_db4_Slot1-35_1_6603.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db
