source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[group]
PXD077027-sample-1	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	1	P0_1_2ug_Pepmap_50cm_T1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	P0_1_2ug_Pepmap_50cm_T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-1	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	1	P0_1_2ug_Pepmap_50cm_T2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	P0_1_2ug_Pepmap_50cm_T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-2	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	2	P0_2_2ug_Pepmap_50cm_T1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	P0_2_2ug_Pepmap_50cm_T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-2	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	2	P0_2_2ug_Pepmap_50cm_T2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	P0_2_2ug_Pepmap_50cm_T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-3	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	3	P0_3_2ug_Pepmap_50cm_T1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	P0_3_2ug_Pepmap_50cm_T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-3	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	3	P0_3_2ug_Pepmap_50cm_T2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	P0_3_2ug_Pepmap_50cm_T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	avirulent
PXD077027-sample-4	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	1	P20_1_2ug_Pepmap_50cm_T1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	P20_1_2ug_Pepmap_50cm_T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	virulent
PXD077027-sample-4	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	1	P20_1_2ug_Pepmap_50cm_T2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	P20_1_2ug_Pepmap_50cm_T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	virulent
PXD077027-sample-5	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	2	P20_2_2ug_Pepmap_50cm_T1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	P20_2_2ug_Pepmap_50cm_T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	virulent
PXD077027-sample-5	Trypanosoma cruzi	not applicable	not applicable	trypomastigote	2	P20_2_2ug_Pepmap_50cm_T2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	P20_2_2ug_Pepmap_50cm_T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	virulent
