source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[material type]	characteristics[culture medium]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[cell line]
BT-474_normoxia_rep1	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	untreated	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	1_BT474.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	BT-474
BT-474_normoxia_rep2	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	untreated	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2_BT475_ny.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	BT-474
BT-474_normoxia_rep3	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	untreated	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	3_BT476.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	BT-474
BT-474_hypoxia_rep1	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	hypoxia	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	4_BT477-Hypoxia.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hypoxia	BT-474
BT-474_hypoxia_rep2	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	hypoxia	2	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	5_BT478-Hypoxia.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hypoxia	BT-474
BT-474_hypoxia_rep3	Homo sapiens	breast	invasive ductal breast carcinoma	BT-474	CVCL_0179	BT-474	not available	cell line	Roswell Park Memorial Institute 1640 Medium	European ancestry	60Y	female	adult	hypoxia	3	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	6_BT479-Hypoxia_ny.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hypoxia	BT-474
MCF-7_normoxia_rep1	Homo sapiens	pleural effusion	invasive ductal breast carcinoma	MCF-7	CVCL_0031	MCF-7	not available	cell line	Dulbecco's Modified Eagle Medium	European ancestry	69Y	female	adult	untreated	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	7_MCF7_ny.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	MCF-7
MCF-7_normoxia_rep2	Homo sapiens	pleural effusion	invasive ductal breast carcinoma	MCF-7	CVCL_0031	MCF-7	not available	cell line	Dulbecco's Modified Eagle Medium	European ancestry	69Y	female	adult	untreated	2	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	8_MCF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	MCF-7
MCF-7_normoxia_rep3	Homo sapiens	pleural effusion	invasive ductal breast carcinoma	MCF-7	CVCL_0031	MCF-7	not available	cell line	Dulbecco's Modified Eagle Medium	European ancestry	69Y	female	adult	untreated	3	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	9_MCF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated	MCF-7
MCF-7_hypoxia_rep1	Homo sapiens	pleural effusion	invasive ductal breast carcinoma	MCF-7	CVCL_0031	MCF-7	not available	cell line	Dulbecco's Modified Eagle Medium	European ancestry	69Y	female	adult	hypoxia	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	10_MCF7-Hypoxia.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hypoxia	MCF-7
