source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20240211_CHFL-DDA_Pool1-F1_Slot2-10_1_2528.d.7z	20240211_CHFL-DDA_Pool1-F1_Slot2-10_1_2528.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F1_Slot2-10_1_2528.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F1_Slot2-10_1_2528.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F2_Slot2-11_1_2529.d.7z	20240211_CHFL-DDA_Pool1-F2_Slot2-11_1_2529.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F2_Slot2-11_1_2529.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F2_Slot2-11_1_2529.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F3_Slot2-12_1_2530.d.7z	20240211_CHFL-DDA_Pool1-F3_Slot2-12_1_2530.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F3_Slot2-12_1_2530.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F3_Slot2-12_1_2530.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F4_Slot2-13_1_2531.d.7z	20240211_CHFL-DDA_Pool1-F4_Slot2-13_1_2531.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F4_Slot2-13_1_2531.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F4_Slot2-13_1_2531.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F5_Slot2-14_1_2532.d.7z	20240211_CHFL-DDA_Pool1-F5_Slot2-14_1_2532.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F5_Slot2-14_1_2532.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F5_Slot2-14_1_2532.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F6_Slot2-15_1_2533.d.7z	20240211_CHFL-DDA_Pool1-F6_Slot2-15_1_2533.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F6_Slot2-15_1_2533.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F6_Slot2-15_1_2533.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F7_Slot2-16_1_2534.d.7z	20240211_CHFL-DDA_Pool1-F7_Slot2-16_1_2534.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F7_Slot2-16_1_2534.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F7_Slot2-16_1_2534.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool1-F8_Slot2-17_1_2535.d.7z	20240211_CHFL-DDA_Pool1-F8_Slot2-17_1_2535.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool1-F8_Slot2-17_1_2535.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool1-F8_Slot2-17_1_2535.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool2-F1_Slot2-18_1_2536.d.7z	20240211_CHFL-DDA_Pool2-F1_Slot2-18_1_2536.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool2-F1_Slot2-18_1_2536.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool2-F1_Slot2-18_1_2536.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
20240211_CHFL-DDA_Pool2-F2_Slot2-19_1_2537.d.7z	20240211_CHFL-DDA_Pool2-F2_Slot2-19_1_2537.d.7z	Mesocricetus auratus	Feces	not applicable	not available	Metaproteomics_reveals_age-specific_alterations_of_gut_microbiome_in_hamsters_with_SARS-CoV-2_infection	feces	feces	not available	not available	not available	not available	gut microbiome	Mesocricetus auratus	Feces	not available	1	20240211_CHFL-DDA_Pool2-F2_Slot2-19_1_2537.d.7z	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240211_CHFL-DDA_Pool2-F2_Slot2-19_1_2537.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
