source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[genotype]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
E14TG2a_wild_type	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	wild type	immunoprecipitation	1	2019_S48_JVallet_dil5_18-07_CTRL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_dil5_18-07_CTRL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
E14TG2a_wild_type	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	wild type	immunoprecipitation	2	2019_S48_JVallet_dil5_18-07_CTRL2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_dil5_18-07_CTRL2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
E14TG2a_wild_type	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	wild type	immunoprecipitation	3	2019_S48_JVallet_dil5_08-10_CTRL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_dil5_08-10_CTRL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
E14TG2a_wild_type	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	wild type	immunoprecipitation	4	2019_S48_JVallet_dil5_14-10_CTRL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_dil5_14-10_CTRL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
E14TG2a_wild_type	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	wild type	immunoprecipitation	5	2019_S48_JVallet_dil5_14-10_CTRL2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_dil5_14-10_CTRL2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
E14TG2a_3xHA-E2F6	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	3xHA-E2F6	immunoprecipitation	1	2019_S48_JVallet_E2F6HA_IP1_18-07_dil5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_E2F6HA_IP1_18-07_dil5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3xHA-E2F6
E14TG2a_3xHA-E2F6	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	3xHA-E2F6	immunoprecipitation	2	2019_S48_JVallet_E2F6HA_IP2_18-07_dil5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_E2F6HA_IP2_18-07_dil5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3xHA-E2F6
E14TG2a_3xHA-E2F6	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	3xHA-E2F6	immunoprecipitation	3	2019_S48_JVallet_E2F6HA_IP1_8-10_dil3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_E2F6HA_IP1_8-10_dil3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3xHA-E2F6
E14TG2a_3xHA-E2F6	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	3xHA-E2F6	immunoprecipitation	4	2019_S48_JVallet_E2F6HA_IP1_14-10_dil3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_E2F6HA_IP1_14-10_dil3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3xHA-E2F6
E14TG2a_3xHA-E2F6	Mus musculus	blastocyst	not applicable	embryonic stem cell	ES-E14TG2a	CVCL_9108	cell	129P2/Ola	blastocyst	not available	male	3xHA-E2F6	immunoprecipitation	5	2019_S48_JVallet_E2F6HA_IP2_14-10_dil3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2019_S48_JVallet_E2F6HA_IP2_14-10_dil3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3xHA-E2F6
